,movieId,genres,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,plot_keywords
76,259,Crime|Drama|Thriller,Kiss of Death,Barbet Schroeder,Nicolas Cage,Michael Rapaport,Philip Baker Hall,beard|female nudity|police brutality|stripper|woman in lingerie
77,41585,Crime|Drama|Film-Noir,Kiss of Death,Barbet Schroeder,Nicolas Cage,Michael Rapaport,Philip Baker Hall,beard|female nudity|police brutality|stripper|woman in lingerie
78,260,Action|Adventure|Sci-Fi,Star Wars: Episode IV - A New Hope,George Lucas,Harrison Ford,Peter Cushing,Kenny Baker,death star|empire|galactic war|princess|rebellion
79,261,Drama,Little Women,Gillian Armstrong,Christian Bale,Kirsten Dunst,Eric Stoltz,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war
80,4921,Drama|Romance,Little Women,Gillian Armstrong,Christian Bale,Kirsten Dunst,Eric Stoltz,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war
81,7054,Drama,Little Women,Gillian Armstrong,Christian Bale,Kirsten Dunst,Eric Stoltz,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war
82,266,Drama|Romance|War|Western,Legends of the Fall,Edward Zwick,Anthony Hopkins,Brad Pitt,Julia Ormond,epic|heart|killing an animal|passion|usa
83,274,Comedy,Man of the House,Stephen Herek,Christina Milian,Vanessa Ferlito,Kelli Garner,cheerleader|cheerleading movie|neo noir|neo western|texas ranger
84,31867,Action|Comedy,Man of the House,Stephen Herek,Christina Milian,Vanessa Ferlito,Kelli Garner,cheerleader|cheerleading movie|neo noir|neo western|texas ranger
85,292,Action|Drama|Sci-Fi|Thriller,Outbreak,Wolfgang Petersen,Kevin Spacey,Morgan Freeman,Rene Russo,disease|epidemic|monkey|quarantine|virus
86,296,Comedy|Crime|Drama|Thriller,Pulp Fiction,Quentin Tarantino,Bruce Willis,Eric Stoltz,Phil LaMarr,black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern
87,299,Drama,Priest,Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,church|priest|sheriff|vampire|warrior
88,86835,Action|Horror|Sci-Fi|Thriller,Priest,Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,church|priest|sheriff|vampire|warrior
89,327,Action|Comedy|Sci-Fi,Tank Girl,Rachel Talalay,Naomi Watts,Lori Petty,Jeff Kober,2030s|21st century|desert|jet|tank
90,329,Adventure|Drama|Sci-Fi,Star Trek: Generations,David Carson,LeVar Burton,Alan Ruck,Jonathan Frakes,23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice
91,330,Action|Crime|Horror,Tales from the Hood,Rusty Cundieff,Corbin Bernsen,Clarence Williams III,David Alan Grier,child abuse|death|drugs|ku klux klan|police brutality
92,337,Drama,What's Eating Gilbert Grape,Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Kevin Tighe,apostrophe in title|face slap|four word title|grocery store|police
93,338,Action|Sci-Fi|Thriller,Virtuosity,Brett Leonard,Denzel Washington,Costas Mandylor,Traci Lords,android|ex cop|serial killer|virtual character come to life|virtual reality
94,344,Comedy,Ace Ventura: Pet Detective,Tom Shadyac,Sean Young,Udo Kier,David Margulies,detective|dolphin|mascot|nudity|stupidity
95,348,Comedy,Bullets Over Broadway,Woody Allen,Jim Broadbent,Chazz Palminteri,Dianne Wiest,actress|bodyguard|new york city|play|playwright
96,349,Action|Crime|Drama|Thriller,Clear and Present Danger,Phillip Noyce,Harrison Ford,Dean Jones,Raymond Cruz,cia|colombia|colombian drug cartel|drugs|president
97,352,Comedy|Drama,Crooklyn,Spike Lee,Alfre Woodard,Delroy Lindo,Isaiah Washington,argument|birthday|bully|coming of age|semi autobiographical
98,356,Comedy|Drama|Romance|War,Forrest Gump,Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,amputee|love|vietnam|vietnam war|war hero
99,357,Comedy|Romance,Four Weddings and a Funeral,Mike Newell,Kristin Scott Thomas,James Fleet,Simon Callow,1990s|chick flick|funeral|gay relationship|wedding
100,370,Action|Comedy,Naked Gun 33 1/3: The Final Insult,Peter Segal,George Kennedy,Fred Ward,Priscilla Presley,retirement|spoof|terrorist|transsexual|undercover
101,377,Action|Romance|Thriller,Speed,Jan de Bont,Keanu Reeves,Alan Ruck,Joe Morton,bomb|bus|elevator|explosive|rescue
102,379,Action|Sci-Fi|Thriller,Timecop,Peter Hyams,Mia Sara,Bruce McGill,Gloria Reuben,cop|corrupt politician|future|senator|time travel
103,380,Action|Adventure|Comedy|Romance|Thriller,True Lies,James Cameron,Jamie Lee Curtis,Tia Carrere,Tom Arnold,espionage|secret agent|secret mission|spy|spy film
104,382,Drama|Horror|Romance|Thriller,Wolf,Mike Nichols,David Hyde Pierce,Peter Gerety,Ron Rifkin,blood|publisher|publishing house|werewolf|wolf
105,110173,Crime|Drama|Thriller,Wolf,Mike Nichols,David Hyde Pierce,Peter Gerety,Ron Rifkin,blood|publisher|publishing house|werewolf|wolf
106,383,Western,Wyatt Earp,Lawrence Kasdan,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,historically inaccurate|name calling|penis slur|vomiting|wyatt earp
107,384,Action|Crime|Drama,Bad Company,Joel Schumacher,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,cia|cia agent|terrorist|twin|twin brother
108,5414,Action|Comedy|Crime,Bad Company,Joel Schumacher,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,cia|cia agent|terrorist|twin|twin brother
109,5426,Western,Bad Company,Joel Schumacher,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,cia|cia agent|terrorist|twin|twin brother
110,393,Action|Adventure|Fantasy,Street Fighter,Steven E. de Souza,Ming-Na Wen,Raul Julia,Kylie Minogue,guile|hostage|ransom|soldier|united nations
111,402,Comedy,Open Season,Roger Allers,Jon Favreau,Debra Messing,Jane Krakowski,bear|deer|forest|grizzly bear|hunter
112,48414,Adventure|Animation|Children|Comedy|IMAX,Open Season,Roger Allers,Jon Favreau,Debra Messing,Jane Krakowski,bear|deer|forest|grizzly bear|hunter
113,420,Action|Comedy|Crime|Thriller,Beverly Hills Cop III,John Landis,Louis Lombardi,Jon Tenney,Gilbert R. Hill,california|counterfeit|counterfeit money|money|theme park
114,434,Action|Adventure|Thriller,Cliffhanger,Renny Harlin,Sylvester Stallone,Leon,Janine Turner,money|mountain|rocky mountains|snow|suitcase
115,441,Comedy,Dazed and Confused,Richard Linklater,Milla Jovovich,Adam Goldberg,Cole Hauser,football|hazing|high school|last day of school|pledge
116,480,Action|Adventure|Sci-Fi|Thriller,Jurassic Park,Steven Spielberg,Wayne Knight,Ariana Richards,Bob Peck,dinosaur|jurassic park|survival|theme park|tyrannosaurus rex
117,482,Crime|Drama|Thriller,Killing Zoe,Roger Avary,Eric Stoltz,Salvator Xuereb,Jean-Hugues Anglade,bank|bastille day|call girl|childhood friend|drugs
118,485,Action|Adventure|Comedy|Fantasy,Last Action Hero,John McTiernan,F. Murray Abraham,Tom Noonan,Joan Plowright,action hero|hero|magic|ticket|video store
119,493,Action|Crime|Drama,Menace II Society,Albert Hughes,Jada Pinkett Smith,Larenz Tate,Khandi Alexander,1990s|escape|graduation|hustler|street
120,494,Action|Adventure|Thriller,Executive Decision,Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,bomb|hostage|military|plane|terrorist
121,497,Comedy|Romance,Much Ado About Nothing,Kenneth Branagh,Keanu Reeves,Denzel Washington,Brian Blessed,16th century|bachelor|dishonor|masquerade party|wedding
122,103027,Comedy|Drama|Romance,Much Ado About Nothing,Kenneth Branagh,Keanu Reeves,Denzel Washington,Brian Blessed,16th century|bachelor|dishonor|masquerade party|wedding
123,500,Comedy|Drama,Mrs. Doubtfire,Chris Columbus,Robin Williams,Mara Wilson,Matthew Lawrence,actor|based on novel|fancy restaurant|male actor playing a female character|party
124,504,Action|Drama|Sci-Fi,No Escape,John Erick Dowdle,Sterling Jerins,Claire Geare,Sahajak Boonthanakit,asia|fictional country|hotel|rebellion|revolution
125,508,Drama,Philadelphia,Jonathan Demme,Denzel Washington,Tom Hanks,Jason Robards,aids|city name in title|gay|homophobia|lawyer
126,510,Drama,Poetic Justice,John Singleton,Janet Jackson,Khandi Alexander,Maya Angelou,african american|mail carrier|poetry|postal worker|south central los angeles
127,516,Comedy|Drama,Renaissance Man,Penny Marshall,Ed Begley Jr.,Cliff Robertson,Lillo Brancato,army|basic training|reference to shakespeare's hamlet|teacher|u.s. army
128,519,Action|Crime|Drama|Sci-Fi|Thriller,RoboCop 3,Fred Dekker,CCH Pounder,Rip Torn,Mako,android|corporation|ninja|police|robocop
129,521,Crime|Thriller,Romeo Is Bleeding,Peter Medak,Gary Oldman,Michael Wincott,Lena Olin,detective|police|protection|russian|sergeant
130,523,Drama,Ruby in Paradise,Victor Nunez,Allison Dean,Todd Field,Dorothy Lyman,desire|florida|identity|resort town|sales
131,527,Drama|War,Schindler's List,Steven Spielberg,Liam Neeson,Embeth Davidtz,Caroline Goodall,german|german soldier|jew|jewish|nazi
132,532,Comedy|Crime|Horror,Serial Mom,John Waters,Kathleen Turner,Sam Waterston,Traci Lords,dentist|housewife|howie scream|murder|perfection
133,534,Drama|Romance,Shadowlands,Richard Attenborough,Anthony Hopkins,James Frain,Julian Fellowes,author|book|england|friend|oxford
134,105034,Drama|Romance,Shadowlands,Richard Attenborough,Anthony Hopkins,James Frain,Julian Fellowes,author|book|england|friend|oxford
135,541,Action|Sci-Fi|Thriller,Blade Runner,Ridley Scott,Harrison Ford,Sean Young,M. Emmet Walsh,artificial intelligence|human android relationship|megacorporation|police detective|tech noir
136,546,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,Super Mario Bros.,Annabel Jankel,Bob Hoskins,Fisher Stevens,Fiona Shaw,based on video game|dinosaur|king|mario|plumber
137,553,Action|Drama|Western,Tombstone,George P. Cosmatos,Michael Biehn,Dana Delany,Powers Boothe,cigar smoking|cowboy|duel|outlaw|tombstone arizona
138,555,Crime|Thriller,True Romance,Tony Scott,Brad Pitt,Gary Oldman,Michael Rapaport,aspiring actor|cocaine|drugs|pimp|suitcase full of money
139,562,Comedy|Drama,Welcome to the Dollhouse,Todd Solondz,Heather Matarazzo,Ken Leung,Christina Vidal,bully|first crush|school|social outcast|taunting
140,586,Children|Comedy,Home Alone,Chris Columbus,Macaulay Culkin,Devin Ratray,Catherine O'Hara,airport|child protagonist|child swearing|christmas|home alone
141,587,Comedy|Drama|Fantasy|Romance|Thriller,Ghost,Jerry Zucker,Demi Moore,Tony Goldwyn,Phil Leeds,death|film blanc|invisibility|love|unrequited love
142,588,Adventure|Animation|Children|Comedy|Musical,Aladdin,Ron Clements,Robin Williams,Frank Welker,Scott Weinger,arab|genie|magic|princess|reference to a thousand and one nights
143,114240,Adventure|Animation|Children|Comedy|Fantasy,Aladdin,Ron Clements,Robin Williams,Frank Welker,Scott Weinger,arab|genie|magic|princess|reference to a thousand and one nights
144,119061,Adventure|Fantasy,Aladdin,Ron Clements,Robin Williams,Frank Welker,Scott Weinger,arab|genie|magic|princess|reference to a thousand and one nights
145,589,Action|Sci-Fi,Terminator 2: Judgment Day,James Cameron,Joe Morton,Jenette Goldstein,S. Epatha Merkerson,future|liquid metal|multiple cameos|sexy woman|time travel
146,590,Adventure|Drama|Western,Dances with Wolves,Kevin Costner,Mary McDonnell,Michael Spears,Maury Chaykin,friendship|frontier|honor|outpost|soldier
147,592,Action|Crime|Thriller,Batman,Tim Burton,Michael Gough,Jack Palance,William Hootkins,city|dc comics|gotham|pantyhose|police
148,26152,Action|Adventure|Comedy,Batman,Tim Burton,Michael Gough,Jack Palance,William Hootkins,city|dc comics|gotham|pantyhose|police
149,91054,Action|Adventure|Crime|Sci-Fi|Thriller,Batman,Tim Burton,Michael Gough,Jack Palance,William Hootkins,city|dc comics|gotham|pantyhose|police
150,594,Animation|Children|Drama|Fantasy|Musical,Snow White and the Seven Dwarfs,William Cottrell,Adriana Caselotti,Billy Gilbert,Lucille La Verne,dwarf|love|princess|queen|snow white
151,596,Animation|Children|Fantasy|Musical,Pinocchio,Norman Ferguson,Mel Blanc,Dickie Jones,Cliff Edwards,boy|conscience|fairy|jiminy cricket|pinocchio
152,5990,Children|Comedy|Fantasy,Pinocchio,Norman Ferguson,Mel Blanc,Dickie Jones,Cliff Edwards,boy|conscience|fairy|jiminy cricket|pinocchio
153,90264,Children|Fantasy|Musical,Pinocchio,Norman Ferguson,Mel Blanc,Dickie Jones,Cliff Edwards,boy|conscience|fairy|jiminy cricket|pinocchio
154,597,Comedy|Romance,Pretty Woman,Garry Marshall,Julia Roberts,Hector Elizondo,Jason Alexander,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman
155,610,Action|Adventure|Animation|Horror|Sci-Fi,Heavy Metal,Gerald Potterton,John Vernon,Joe Flaherty,Don Francks,anthology|girl|heavy metal|secretary|segments
156,637,Comedy,Sgt. Bilko,Jonathan Lynn,Austin Pendleton,Phil Hartman,Max Casella,greenland|military|revenge|soldier|u.s. soldier
157,639,Comedy|Drama,Girl 6,Spike Lee,Michael Imperioli,Debi Mazar,Gretchen Mol,actress|neighbor|phone sex|queens new york city|sex addiction
158,647,Action|Crime|Drama|War,Courage Under Fire,Edward Zwick,Denzel Washington,Matt Damon,Scott Glenn,bravery|honor|medal of honor|military life|unreliable flashback
159,648,Action|Adventure|Mystery|Thriller,Mission: Impossible,Brian De Palma,Tom Cruise,Kristin Scott Thomas,Vanessa Redgrave,disguise|mission|spy|stealing|traitor
160,660,Drama,August,Eldar Rapaport,Murray Bartlett,Adrian Gonzalez,Edward Conna,apartment|gay parent|job interview|male pubic hair|pubic hair
161,60524,Drama,August,Eldar Rapaport,Murray Bartlett,Adrian Gonzalez,Edward Conna,apartment|gay parent|job interview|male pubic hair|pubic hair
162,664,Comedy,Faithful,Paul Mazursky,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,bathroom|bathtub|female protagonist|flashback|kitchen
163,673,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,Space Jam,Joe Pytka,Bill Murray,Wayne Knight,Michael Jordan,alien|basketball|basketball game|cult film|monstars
164,674,Adventure|Comedy|Sci-Fi,Barbarella,Roger Vadim,Jane Fonda,David Hemmings,Milo O'Shea,41st century|angel|future|laser gun|space opera
165,691,Comedy|Romance,Mrs. Winterbourne,Richard Benjamin,Brendan Fraser,Jane Krakowski,Cathryn de Prume,love|train|train wreck|twin brother|two word title
166,711,Adventure|Children,Flipper,Alan Shapiro,Paul Hogan,Chelsea Field,Jessica Wesson,dolphin|florida|florida keys|summer|vomiting
167,8850,Adventure|Children|Drama,Flipper,Alan Shapiro,Paul Hogan,Chelsea Field,Jessica Wesson,dolphin|florida|florida keys|summer|vomiting
168,719,Comedy,Multiplicity,Harold Ramis,John de Lancie,Brian Doyle-Murray,Obba Babatundé,clone|cloning|construction|same actor playing two characters simultaneously on screen|year 1996
169,736,Action|Adventure|Romance|Thriller,Twister,Jan de Bont,Philip Seymour Hoffman,Alan Ruck,Jami Gertz,device|disaster|divorce|storm|tornado
170,7781,Comedy,Twister,Jan de Bont,Philip Seymour Hoffman,Alan Ruck,Jami Gertz,device|disaster|divorce|storm|tornado
171,742,Horror|Thriller,Thinner,Tom Holland,Joe Mantegna,Bethany Joy Lenz,Kari Wuhrer,death|doctor|gypsy|judge|lawyer
172,743,Comedy,Spy Hard,Rick Friedberg,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,1990s|dentist|hit with a door|martial arts|museum
173,750,Comedy|War,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,George C. Scott,Slim Pickens,Keenan Wynn,bomber|doomsday|general|u.s. president|war room
174,762,Comedy|Crime,Striptease,Andrew Bergman,Demi Moore,Rumer Willis,Paul Guilfoyle,bouncer|breasts|congressman|private dancer|stripper
175,778,Comedy|Crime|Drama,Trainspotting,Danny Boyle,Kelly Macdonald,Shirley Henderson,Ewen Bremner,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal
