description	descriptions
It's not as good as your expect nor as bad as you heard	"To start it off, i'm a big fan of dc cinematic universe, and the year 2016, hadn't been a good year for me and the other fans. Even though, i'll state myself optimistic, since actually, all my hopes and expectation fall into this movie instead.; OK, Let's start with the strong aspects of the movie; performances and characters. well, i actually think this is what the director want to top off and show to the audience, thus forgetting the plot, which we will get into later. but the characters and the performances are well-performed- Margot Robbie as Harley Quinn really tops off my expectation. i'm a fan of harley quinn character, and she actually brought me the harley quinn i'm expected for- sexy, beautiful, it girl of joker's. while watching the movie, and whenever i'm feeling bored, harley quinn is there to make the scene fresh. and i think all audience, including audiences who didn't know her will love her and feel sympathetic to her. Will smith as deadshot actually didn't deserve much of my appreciation. i mean even though he's one of the great and strong aspect in the movie, i just thought i don't see will smith even trying to act, which weirdly works. watching Will smith here is just watching him using a kickass suit. Jared Leto as The Joker, is actually isn't the worst part of the movie (unlike what people might have said) i think that Jared Leto pull of a great effort into his character, and some scene of him showing up gave me goosebumps and own joys. but, maybe how little the scene for him is, or his character is pretty under-developed that just doesn't fit the puzzle in the movie. Viola Davis as Amanda Waller also brought up my her characther pretty well, as she played the cold-hearted leader Amanda Waller. other performances are great, like Joel Kinnaman, Jai Courtney, Jay Hernandez, Karen Fukuhara, and Cara Delevigne.; The chemistry between the characters are great, as well as the development between their relationship. in my opinion, one of the strongest chemistry is Harley Quinn and Deadshot. Their chemistry is electric, funny, and watching them teasing, and slowly started to care about each other, is entertaining, and make me ship them together. even, i have a relationship that had a weak chemistry, that is Rick Flagg and June Moore's relationship which is bland, forced, and unnecessary.; Now, parts that i think is the weak part of the movie, I think the plot is the main reason. The plot is lazy-written and under-developed,and at some point is pretty ridiculous. i don't want to get into it too much, since it will spoil some things, and i need you to watch the movie without spoilers, yet. even, i could tell you that the CGI is pretty cringy and sometimes, so does the visual effect between the scenes. the ending is actually rushed, predictable, and i think they could do better after building up the story of the fight scene.; At the end, everything has its bad and has its good, what i really suggest for you to do is just lower your expectation, yet don't miss it either. it may not lift the hype as in the greatness in the trailer, but i think it's still a great fun must see summer movie , and you should enjoy it without all the overly negative critics."
What's with these ratings? This is an exasperatingly bad movie	"I don't get the ratings here. This is a cut and dry poorly made movie and fans of the DC universe deserve better. I don't normally post my reviews here. But I have to share my take on this movie because it just wasn't good. I didn't even have to go into spoilers to show how terrible it is. Movie goers shouldn't mindlessly consume these films. Christopher Nolan set a high bar, but producers and studios need to step messing with auteurs and maybe we can get a quality DC movie:; There is nothing in Suicide Squad that shows any hope that an auteur filmmaker can do anything distinctive with the current cash cow of the Hollywood machine: the super hero movie. What Christopher Nolan once made his own has devolved into a predictable pastiche whose charms should be wearing thin on audiences. It doesn't help that the movie is also an example of how bad one of these films can be when it becomes watered down and designed to refrain from shaking up anything in the so-called DC Universe. Suicide Squad, a PG-13 film, was supposed to be DC's entry to rival Marvel's R-rated Deadpool. Even though Deadpool had its own problems as a self-aware action movie, it still had focus and a bravado that is nowhere to be found in Suicide Squad.; Suicide Squad follows a group of villains with super powers released from prison as part of a government plan to protect the world from terrorists or whatever sign-of-the-times fear currently plaguing society (Zika?). Starring Will Smith as the hit man Deadshot and Margot Robbie as the Joker's manic girlfriend Harley Quinn, alongside several other less familiar DC baddies, these guys are supposed to be complex people who have long fallen from grace and are supposed to rise above to find their humanity and gain the audience's sympathy. But writer-director David Ayer tries so hard to take a safe route, you can see the gears trying to manipulate audience emotion, revealing the inherit problems of these comic book adaptations straining to catch up with decades of printed storytelling.; You can't totally blame Ayer, who last gave moviegoers Fury, an incredibly strong and startling war movie featuring a better fleshed out motley crew of characters. The preciousness Hollywood has for its ongoing world building of interconnected comic book films creates such tight restrictions on storytelling that anything that might upset that world has no room to prosper. At one point, toward the end of Suicide Squad, one character asks another, ""Shouldn't you be dead?"" Of course not, this is the DC universe, and it's gotta be milked. That means no major players should be written off in one movie.; The result of these storytelling restraints is a soulless kind of filmmaking hampered by pussyfooting. It's like a syrupy glaze that drowns out any possibility to shine above what has become a predictable pattern of storytelling. Characters dole out uninspired lines that play superficially to feelings, like, ""Dad, I know you do bad things, but I still love you."" Then there are the clichés, like ""fight fire with fire."" Sometimes the script inadvertently deflates the tension by spelling things out. Someone over a radio says, ""Use extreme caution,"" and someone in the action responds, ""I don't like this."" But in case you miss that, someone else says, ""I don't like it either."" A kid playing with his action figures can come up with better chatter to establish tension...."
It's just a mess	"This movie tries to be so much but ends up being a real mess.; Where do I begin? Character introduction runs for almost 40 minutes and I still don't end up giving a damn about anyone.; Jokes are often very misplaced and feels extremely forced. Many scenes feels like they were made solely for sake of the trailer and also the trailer resembles nothing of what the actual movie is like.; CGI is so off that I divide the movie into 2 teams, CGI-team and real team, and I keep ending up thinking how the ***k is human team going to beat world consuming superman-like characters.; However I do like the look of the Villains, especially Enchantress.; Maybe this film is the best thing for DC Universe superfans, but for the casual viewer it's very hard to get a grip of this movie, at least for me it was."
They're the bad guys LOL	"Disappointment. That's actually far better than what I felt after watching this movie. I wanted to leave the cinema about 30 minutes before the end but that's against my personal policy so I tried plan B but found nothing to poke my eyes out so I watched, and cried...; -First, where is Deadshot? No, because all I saw from start to end is goody Will Smith playing the good family guy, very far from the cold hearted hired assassin he is supposed to play.; -Second, what was that false publicity? The Joker appeared a lot in the trailer but he has absolutely no purpose in this movie apart from being the background story of Harley Quinn. Really, you remove him, you get the same movie but with only half of the theatre full.; -Third, while I'm on her, the guys who made this movie obviously didn't get the relationship between Harley and the Joker. The Joker don't give a damn about her, she is his tool, he can throw her from a bridge without a second thought while Harley has developed a serious Stockholm Syndrome toward him. In this movie they are all lovey-dovey, at the end of the movie I nearly expected to see them leave in a car with ""Just Married"" written on the back with a ""And they lived happily ever after.""; -The first half of the movie is actually not that bad, the villains really look and act like villains most of the time but everything started to fall apart after Will Smith reunite his troops after they failed the mission the first time, each one of them just want to drop everything and leave but then Will Smith says they can't give up and of course all the bad guys listen to him because he is Will Smith (God?). That was when I did my first face-palm.; -This movie is 50% Will Smith, 40% Harley Quinn, and 10% the others. Really, apart from the first two, the others are just background characters, to make a comparison, in Guardian of the galaxy, you got one hero but you know the background stories of every members of the team, and they get their fair share of screen time. In this movie, they just don't care.; -The jokes, sorry... The ""jokes"", well, I think the quotes speaks for themselves. Sometimes it's funny, most of the times it's not and sometimes they even try to explain the joke you understand but don't find funny. I think Warner tried to be more funny and less dark in this movie after they got some bad reviews about Batman Vs Superman being too dark but that's just ridiculous, they remade some scenes to add jokes and sometimes it even breaks the action.; -And while I'm on it, Batman vs Superman had an impact in the DC Universe, it starts with the consequences of what happened in Man of Steel and at the end of it, the world has changed. In this movie, there is no progression of the DC Universe, it feels more like one of those filler episode you don't want to watch in any series.; -I won't talk about the end of this movie because, as a sadist, I want you to go watch this movie and suffer during the two hours needed to finally reach the end credits. Just know that the last minutes are actually way worse than the rest of the movie. Enjoy ;); Anyway, as a DC fan, I wanted to see Harley Quinn in a movie but certainly not in this one. I really, really, REALLY hope that Warner won't use this movie as a reference to make Justice League because if they do I'll have to formulate an official request to DC so they can let Marvel do their movies :D See you all in 2017."
"Great cast, terrible plot, mediocre action scenes and shoddy humor I just got back from the movie and have a few feelings about it. It started out solid enough, we get to know the characters/motivations/weaknesses. Yes it was hurried but necessary and stylish.; Then things drastically started to go downhill. DC's answer to Samuel Jackson is the stony faced Amanda Waller. She decides she needs to get these people together in case of another meta-human attack and by doing so she instigates the attack itself.; So now we are faced with the big bad enchantress who we know nothing about and really aren't that committed to as a movie baddie. But that's OK... the bad guys aren't that important if our protagonists have good charisma with each other on screen. Here was my biggest issue. They just don't.; The enemy ends up being a barrage of blackberry-headed minions and it begins to feel like an annoying video game. Step into a room, kill all bad guys, move on to the next room and repeat. To add insult to injury Rick Flagg even gets dragged away twice and has to be rescued like those ridiculous 'keep them alive' missions in video games. The action feels more suited to a war movie than to a comic book movie (perhaps the directors past is showing here); I wanted to like this movie, I wanted to like the characters but there were points where the dialogue was just so bad. TWICE, characters randomly hit on Katana to which she does not respond. It's not funny. TWICE everyone ends up ogling Harley Quinn. The attempts at humor in the movie were weak at best. Killer Croc utters so many pointless one liner's that are neither funny nor useful. It just didn't work.; You want humor? When the characters are being shown their wildest dreams, give us a ridiculous seen with Boomerang. Give us some funny scenes with Diablo and stop saying 'esse' at him.; I loved the romance with Joker and Harley.. give us more of that, don't squeeze the joker into a bunch of different personas.; The bar scene was lovely, you felt the characters come close to something like a bond. Don't give us that at the end... give us that at the start of the movie, make us actually feel like these people mesh together well. They call themselves a family at the end but they have done nothing to merit that.; Diablo had a cool scene at the end and Will Smith played an amazing Deadshot but I feel Rick Flag was just badly cast. I never really cared for the Rick and Deadshot scenes together on screen... It never felt like it really worked.; Overall, I'll still watch DC movies, but I do feel like they are missing something that the Marvel counterpart has got right. Maybe it's heart, maybe Marvel just have more practice but I hope DC can redeem themselves next year."
I am so-so sad :(	"I am really really disappointed to be honest. I was waiting for this movie for so long, I loved Suicide Squad in Assault on Arkham and I was so happy when the news arrived about the live action movie. And as a massive Jared Leto fan I was extremely happy they chose him for the role of my all time favorite character, Joker. So I was hyped to see him, but the whole gang too. And what I got from the movie was equal with pure sadness. I mean, Jared was in it for a total 10 minutes and his role could have been easily left out, I only knew the characters because I read the comics and watched the wonderful animation (which by the way a 100 times better), the story telling was HORRIBLE, the actors could have been wonderful but they kinda lost in the terrible script. Will Smith, Margot Robbie and Viola Davis were fantastic but we didn't really get to know them... and the other characters were only there for... who know why? WHY DC, WHY? This story had so much promise and you ruined it... You should have adopted the Assault on Arkham into a live action movie... All these characters would needed a stand alone movie, and once we've got to know them then put them together... sure it would take years to build up a universe like that, but come on, that's what Marvel did and their movies are amazing! I am so, so sad right now... All of the actors deserve way better than this and they all have great potential"
Disappointing and messy :(	"I was really looking forward to this movie and only ended up with a huge deception. The script is messy and there are way too many characters that are too quickly introduced. Many of these ""villains"" would require a whole movie to give intensity to their character... I really feel like DC just wanted to have as big an audience as possible without spending a penny on the script. Some good things are the special effects , the movie is overall very beautiful to watch. Some characters need a bravo for their wonderful roles: Harley Quinn mostly... The others are kind of empty to me. And some are very very bad like enchantress who mumbles in a foreign language all along and whose only 3 lines in English SUCK (when she asks Flag to destroy enchantress instead of saving her blabla). The Joker doesn't have a place in the movie, his role does not add anything to it and half of his lines are... awkward moans. El Diablo's behavior is predictable from the very beginning, Batman really wasn't necessary, Katana's few lines are desperately cheesy, etc... As a conclusion, the viewer is unable to feel a link whatsoever to any of the characters since their stories are disappointingly and quickly told. The acting of many characters does not help, whether they were just bad or the director asked them to play in that un-subtle fashion. The script is disjoint, flashbacks don't add much quality or intensity to the movie, and the ""big plot"" revealed at the end is... not much of a secret since the viewer KNOWS enchantress escaped from the hands of Waller. I feel like this is a big commercial move from DC to attract people... However, this will only disgust the people who were fans of the heroes/villains in the beginning. Money over quality"
Thanks but no thanks.	"Possible spoilers; I went in the movie with reservations, I heard negative reviews, I heard good ones. As always I make my own judgment afterwards.; First and foremost, this is probably the worst and most over dramatized version of the Joker I have ever seen in my life. I was raised in comic books, they tried entirely too hard to make Joker look crazy. It seemed way too forced, he and Harley Quinn both look more like junkies than psychopaths. Not to mention they horribly botched the relationship of Jokers impression of Harley. I have no idea what they were aiming for and even less of an idea on why Jared Leto accepted that role.; Harley Quinn, again they spent way too much time and effort making her a sex symbol and made her look like some white trash/hood rat combo with minor Harley Quinn traits.; Deadshot, honestly, this was where I held most my reservations. I didn't like the idea of Will Smith in comic movies, but I think he did a fantastic job. The claim that Margot Robbie stole the screen just doesn't seem right as the movie centered more on the changes that he made as well as the leadership role he acquired.; Killer Croc, I don't even know here. This was just plain bad in so many ways. I will just leave this one alone.; Boomerang or whatever he was called, yet another utterly useless character I half expected to be killed off. Like the Joker in this movie he was a try hard with no real desire to see again.; Katana, yes because who doesn't like having someone show up that doesn't speak a lick of English. You know the very language that the rest of the movie was in.; Flag, no depth of a non-""meta human"" kinda expected more than a minimal love story.; The enchantress wasn't bad when she wasn't doing some weird fish like dance moves.; Plot, terrible. Outside of the focus on Deadshot the plot seriously lacked. Why would you bring Batman into a movie for parts yet he keeps himself away from a several day long battle, especially with his decision to make a team after the doomsday problem.; I would have scored this movie lower if it wasn't for the occasional Harley Quinn like characteristics and the fact that Will Smith shined pretty well.; Whoever wrote some of those scripts and designed the characters should be exiled from Hollywood."
A fun flick	"I'm gonna start this review by saying that Robbie was good,some corny lines,but she was still good,Leto is good for the amount of screen time he got,definitely will be a great Joker if he gets more screen time the next time he appears,and if you have to know,he's not better than Jack or Heath,but i liked his performance,some choppy editing,the Batman cameo was amazing,i loved Croc as well,but the best performance is by Will Smith as Deadshot and Joel Kinnamann as Rick Flag,they absolutely killed it,the villain was weak,Amanda Waller is a boss,the mid credits scene is also very cool,the movie had me on the edge of my seat,while not a amazing film,it's still very good,i think that this'll be the first DCEU movie that will get good reviews,and also the soundtrack is great."
Fantastic Movie!	"Wow. Got out of the early screening earlier and was super surprised. First thing i want to talk about is Margot Robbie as Harley Quinn. She did an amazing job, at times it can be confusing because her voice switches from her signature Brooklyn accent to just a normal American voice but it works out perfectly. Jared Leto is great, he is a very controversial pick as the Joker but i think reactions will be mixed, I think he was fantastic though. Not enough of him either. Then there was Will Smith as Deadshot, he was more or less the main leader of the suicide squad (or the squad) Viola Davis as Amanda Waller was probably the best casting In a superhero movie since Rdj as Iron Man. She was so menacing and is such an amazing actress. Batfleck is in it for a little, you were expecting him to play into the story more, but every scene he was in the crowd was Cheering. Adewale Akinnuoye-Agbaje plays Killer Croc, who was good, but wasn't a stand-out like I was hoping, although they didn't really put him in it to much but he was still good. Diablo was an okay character, easily has the most bad ass powers in the squad though. People Do die. I'm not going to say who, but if you watch the trailers there is a certain somebody in the squad who you assume does die... If you know who that is then you know who dies. The first 15 minutes of the movie is pretty slow. It shows all the villain's backstories. Flash interacts with Boomerang which was an Amazing scene. The flash is awesome so hyped for Justice Leauge. All in all this movie had enough Comedy and Action to blend in to an amazing summer movie. I won't compare it to Bvs Or Captain America because it isn't fair, they are all good in there own way. I highly recommend it. Go see this movie in theaters August 5th and buy it on DVD when it comes out. It's highly worth your time."
A fun flick	"I'm gonna start this review by saying that Robbie was good,some corny lines,but she was still good,Leto is good for the amount of screen time he got,definitely will be a great Joker if he gets more screen time the next time he appears,and if you have to know,he's not better than Jack or Heath,but i liked his performance,some choppy editing,the Batman cameo was amazing,i loved Croc as well,but the best performance is by Will Smith as Deadshot and Joel Kinnamann as Rick Flag,they absolutely killed it,the villain was weak,Amanda Waller is a boss,the mid credits scene is also very cool,the movie had me on the edge of my seat,while not a amazing film,it's still very good,i think that this'll be the first DCEU movie that will get good reviews,and also the soundtrack is great."
Fantastic Movie!	"Wow. Got out of the early screening earlier and was super surprised. First thing i want to talk about is Margot Robbie as Harley Quinn. She did an amazing job, at times it can be confusing because her voice switches from her signature Brooklyn accent to just a normal American voice but it works out perfectly. Jared Leto is great, he is a very controversial pick as the Joker but i think reactions will be mixed, I think he was fantastic though. Not enough of him either. Then there was Will Smith as Deadshot, he was more or less the main leader of the suicide squad (or the squad) Viola Davis as Amanda Waller was probably the best casting In a superhero movie since Rdj as Iron Man. She was so menacing and is such an amazing actress. Batfleck is in it for a little, you were expecting him to play into the story more, but every scene he was in the crowd was Cheering. Adewale Akinnuoye-Agbaje plays Killer Croc, who was good, but wasn't a stand-out like I was hoping, although they didn't really put him in it to much but he was still good. Diablo was an okay character, easily has the most bad ass powers in the squad though. People Do die. I'm not going to say who, but if you watch the trailers there is a certain somebody in the squad who you assume does die... If you know who that is then you know who dies. The first 15 minutes of the movie is pretty slow. It shows all the villain's backstories. Flash interacts with Boomerang which was an Amazing scene. The flash is awesome so hyped for Justice Leauge. All in all this movie had enough Comedy and Action to blend in to an amazing summer movie. I won't compare it to Bvs Or Captain America because it isn't fair, they are all good in there own way. I highly recommend it. Go see this movie in theaters August 5th and buy it on DVD when it comes out. It's highly worth your time."
Don't bother -- it's a mess.	"Flat jokes, one-liners and terrible chemistry make up this movie. As usual, we see a group of heroes taking on a legion of mindless alien/zombie/no-named soldiers who have absolutely no chance. There are so many awkward moments in this movie. You don't have to see the movie to know how it will play out and end. The bad guy is lame and uninteresting, who apparently has the power to instantly disarm all of the heroes but doesn't use it until the very end -- when it's too late. I get that they want to show us that she is ""powerful"", but they just don't know what they are doing. Just terrible.; Save your time and money. There are few memorable things about this movie."
Simply Not That Interesting	"Is this movie terrible? Absolutely not; Is this movie great? Absolutely not.; I always heard from people that they either HATED or LOVED this movie. And for me it was neither.; The audience for this film is served with a classic action movie/comic book. ""The world is in danger! There must be a solution! Although there are bumps between the characters along the way, eventually, we'll solve the problem""; The interesting twist is *supposed* to be that instead of classic superheroes, we have bad guys. To that I say ""so what?"". The movie didn't really establish why I should care about much of what was going on on screen—it was all just classic popcorn movie action and sequences that were occasionally broken up by half-attempts at character development."
A lot of fun with above average acting	"I won't lie, the movie isn't perfect. A few jokes fall flat, and make those moments awkward, but the rest is superb. The acting was more than I expected out of this movie. In terms of acting, I'll go in order of my top 3: Robbie, Leto, and Smith. All of their portrayals are excellent. El Diablo is a nice surprise, his character made us feel for him, maybe even more-so than the top stars. Leto knocks it out of the park. As a Ledger fanboy, I was dreading his performance, but his character was amazing down to the slightest movement. No amount of dialogue is wasted nor any simple movement is wasted.; Overall, the movie was great, again, some awkward script, but the action scenes are done extremely well and the acting is great. 8/10. Leagues above Batman v Superman in my opinion."
Why and How is Will Smith the star of this movie?!?!	"Where to start...woe is me...where to start?!?! First I'll say I was looking forward to this movie for a long time..like many people. All I really cared about was of course...the resurrection of The Joker!; I think Jared Leto has the kind of God given talent that can never be taught to any actor. He was born with it, like Nicholson and Ledger before him. So needless to say I was absolutely stoked to see what he would do with such an iconic character. I didn't really care much about anything else. Which leads me to say WOW! The marketing on this film was the definition of false advertisement.; There were so many interesting story lines to play with here. The Joker and Harley Quinn with their demented love story wouldve been my first choice. It was Jared Leto and Margot Robbie that shouldve been leading this movie...NOT WILL SMITH! guys I can't stress enough how much i dislike Will Smith. Guys this whole movie revolves around Will Smith playing Will Smith in a movie where he's supposed to be playing Deadshot.; God I can't stress enough just how much he ruined this movie for me. Basically he did his whole schtick from Hancock but threw on an extra layer of ""stereotypical hood black guy"" and called it Deadshot. As an African American..I cringed every time he opened his mouth.; Sorry about my Will Smith melt down...he is just really awful.; I really would've liked to understand more about Enchantress..there was definitely not enough time to establish her at all. The ""Villains"" were literally moving props whose only purpose was to slow our heroes down.; Also, I'm not sure Cara Delevigne has the gravitas to really dig into Enchantress...but I could be wrong...The fail on June Moone could very well all be on David Ayer's shoulders. Also the CGI for Enchantress and her movements in the final sequence were actually laughable. I couldn't take her seriously.; Diablo was the only actual Metahuman and they didn't explain his origin whatsoever. Not in a meaningful way anyway. Captain Boomerang wasn't terrible..not memorable either. Killer croc was there...could barely understand anything he said...but he was there...and apparently loves BET(GTFOH).; Viola Davis was solidly cold hearted as Amanda Waller. Davis, Leto and Robbie were the only strong points of the film and there was not nearly enough of them.; Personally, I really enjoyed Batman V Superman. I know the plot was a bit of jumbled mess and the bat vs supes was like 5 mins long and then there was Doomsday..ugh. But I still really liked it. There was a lot of it that dealt to me very believable circumstances. I can't say the same for SS...I never bought it. Not once did I sink into the story of the characters...I was always very aware I was in a movie theater watching the fresh prince flap his lips.; To the folks at Warner Bros..ya'll need to step your game up..and do it quickly. You cannot keep making sub par movies like this. I'm this upset and I didn't even have to pay to see this movie. I can't even imagine the folks that are shelling out hard earned money for the 2 hour crapfest I just sat through. Jeez man...What a waste of Jared Leto.; Save your money guys and pirate this crapfest in a week."
Good movie but it could've been better	"There could be some spoilers, but I will keep them to a minimum.; The movie premiered in my country and I got to see it. I give it a 7/10.; What bothered me: - Not much big villain character development for us to care at all. Couldn't understand who the hell is the enchantress' brother and his connection to her, and they barely appeared in like 1/4 of the movie, didn't care much about them. - Not enough focus on the special abilities of each member of the squad and what makes them special and different from each other. - Not enough Joker presence, but I understand he wasn't supposed to be over-present in the movie.; Joker was great for me and Harley Quinn is the best in the movie. Viola Davis (Waller) and Will Smith delivered outstanding performances."
Stereotype Squad	"Just awful -horrible dialogue, zero premise. Stereotype Squad as far as characters concerned...in particular the Asian 'character' which was obviously a laughably cynical afterthought and the Boomerang Joe or Pete (I didn't care) - I mean, come on! Will Smith seemed embarrassed or wincing delivering his lines -hard to tell -and as for Jared Leto's OTT indulgent 'acting' -sheesh. Margot Robbie was probably only one whose character had a few good lines. Sad to see the otherwise incredible actress from Secrets and Lies reduced to the ridiculous boss character. The CGI was awful, particularly the monster at the end. Didn't make me feel anything toward the characters -no emotional resonance whatsoever."
An overly hyped film and a very unfortunate disappointment	"Suicide Squad was a disappointment to me. May be I got hooked on the hype or was expecting too much from WB. This movie had a great concept that we saw on the small screen, both TV series and animated. For some reason, those formats did it better than this theatrical release.; This movie suffered from all fronts, poor writing which is the number one problem for me. The story was just all over the place with such in coherency, it's visible at every point. Not enough time was spent in developing these characters for their introduction to the big stage. Poor dialogue was another major problem which is just so stupid at some points.; But Suicide Squad still could have been saved with the main plot and a great villain. Sadly that too was a major problem. The main plot didn't make sense because the movie itself went in so many directions that none of it could have come together and gel.The villain was a total failure. Nothing about this person was intriguing and just falls so flat. Story and main purpose was so awful for a big summer blockbuster.; This movie probably only had about two things going for it. Majority of the casting was great including Will Smith, Margot Robbie, Viola Davis, Jared Leto, and Jai Courtney. Yes Jai Courtney, I'm shocked too. I really think his role should have been expanded. Notable miscast would be Joel Kinnaman and Cara Delevingne. Joel Kinnaman portrayal of Rick Flag was out of touch of what that character should be and for Enchantress, someone, more older with more acting depth should have been chosen over Cara Delevingne.; The other thing would be, through and through it's a much better movie than Batman V Superman. I know that's not really helping but still. A weak six stars and a onetime watch."
"problems, but overall enjoyed it"	"Y'know I didn't hate this like everyone in the world seems to. The characters were colorful, big. I guess it's a tough task to get them all equal screen time. My suggestion would have been to cut back on the members. Problem solved.; It doesn't quite have the fun of the trailer, which can happen when someone not involved with film cuts something that may not represent the film.; Harley Quinn obviously a stand out, but the BIG ONE for me, was seeing Batman, albeit briefly. Just enough to tantalize. Wetted my appetite for his solo film which can't come soon enough."
Fantastic Movie!	"Wow. Got out of the early screening earlier and was super surprised. First thing i want to talk about is Margot Robbie as Harley Quinn. She did an amazing job, at times it can be confusing because her voice switches from her signature Brooklyn accent to just a normal American voice but it works out perfectly. Jared Leto is great, he is a very controversial pick as the Joker but i think reactions will be mixed, I think he was fantastic though. Not enough of him either. Then there was Will Smith as Deadshot, he was more or less the main leader of the suicide squad (or the squad) Viola Davis as Amanda Waller was probably the best casting In a superhero movie since Rdj as Iron Man. She was so menacing and is such an amazing actress. Batfleck is in it for a little, you were expecting him to play into the story more, but every scene he was in the crowd was Cheering. Adewale Akinnuoye-Agbaje plays Killer Croc, who was good, but wasn't a stand-out like I was hoping, although they didn't really put him in it to much but he was still good. Diablo was an okay character, easily has the most bad ass powers in the squad though. People Do die. I'm not going to say who, but if you watch the trailers there is a certain somebody in the squad who you assume does die... If you know who that is then you know who dies. The first 15 minutes of the movie is pretty slow. It shows all the villain's backstories. Flash interacts with Boomerang which was an Amazing scene. The flash is awesome so hyped for Justice Leauge. All in all this movie had enough Comedy and Action to blend in to an amazing summer movie. I won't compare it to Bvs Or Captain America because it isn't fair, they are all good in there own way. I highly recommend it. Go see this movie in theaters August 5th and buy it on DVD when it comes out. It's highly worth your time."
Don't bother -- it's a mess.	"Flat jokes, one-liners and terrible chemistry make up this movie. As usual, we see a group of heroes taking on a legion of mindless alien/zombie/no-named soldiers who have absolutely no chance. There are so many awkward moments in this movie. You don't have to see the movie to know how it will play out and end. The bad guy is lame and uninteresting, who apparently has the power to instantly disarm all of the heroes but doesn't use it until the very end -- when it's too late. I get that they want to show us that she is ""powerful"", but they just don't know what they are doing. Just terrible.; Save your time and money. There are few memorable things about this movie."
Simply Not That Interesting	"Is this movie terrible? Absolutely not; Is this movie great? Absolutely not.; I always heard from people that they either HATED or LOVED this movie. And for me it was neither.; The audience for this film is served with a classic action movie/comic book. ""The world is in danger! There must be a solution! Although there are bumps between the characters along the way, eventually, we'll solve the problem""; The interesting twist is *supposed* to be that instead of classic superheroes, we have bad guys. To that I say ""so what?"". The movie didn't really establish why I should care about much of what was going on on screen—it was all just classic popcorn movie action and sequences that were occasionally broken up by half-attempts at character development."
A lot of fun with above average acting	"I won't lie, the movie isn't perfect. A few jokes fall flat, and make those moments awkward, but the rest is superb. The acting was more than I expected out of this movie. In terms of acting, I'll go in order of my top 3: Robbie, Leto, and Smith. All of their portrayals are excellent. El Diablo is a nice surprise, his character made us feel for him, maybe even more-so than the top stars. Leto knocks it out of the park. As a Ledger fanboy, I was dreading his performance, but his character was amazing down to the slightest movement. No amount of dialogue is wasted nor any simple movement is wasted.; Overall, the movie was great, again, some awkward script, but the action scenes are done extremely well and the acting is great. 8/10. Leagues above Batman v Superman in my opinion."
Why and How is Will Smith the star of this movie?!?!	"Where to start...woe is me...where to start?!?! First I'll say I was looking forward to this movie for a long time..like many people. All I really cared about was of course...the resurrection of The Joker!; I think Jared Leto has the kind of God given talent that can never be taught to any actor. He was born with it, like Nicholson and Ledger before him. So needless to say I was absolutely stoked to see what he would do with such an iconic character. I didn't really care much about anything else. Which leads me to say WOW! The marketing on this film was the definition of false advertisement.; There were so many interesting story lines to play with here. The Joker and Harley Quinn with their demented love story wouldve been my first choice. It was Jared Leto and Margot Robbie that shouldve been leading this movie...NOT WILL SMITH! guys I can't stress enough how much i dislike Will Smith. Guys this whole movie revolves around Will Smith playing Will Smith in a movie where he's supposed to be playing Deadshot.; God I can't stress enough just how much he ruined this movie for me. Basically he did his whole schtick from Hancock but threw on an extra layer of ""stereotypical hood black guy"" and called it Deadshot. As an African American..I cringed every time he opened his mouth.; Sorry about my Will Smith melt down...he is just really awful.; I really would've liked to understand more about Enchantress..there was definitely not enough time to establish her at all. The ""Villains"" were literally moving props whose only purpose was to slow our heroes down.; Also, I'm not sure Cara Delevigne has the gravitas to really dig into Enchantress...but I could be wrong...The fail on June Moone could very well all be on David Ayer's shoulders. Also the CGI for Enchantress and her movements in the final sequence were actually laughable. I couldn't take her seriously.; Diablo was the only actual Metahuman and they didn't explain his origin whatsoever. Not in a meaningful way anyway. Captain Boomerang wasn't terrible..not memorable either. Killer croc was there...could barely understand anything he said...but he was there...and apparently loves BET(GTFOH).; Viola Davis was solidly cold hearted as Amanda Waller. Davis, Leto and Robbie were the only strong points of the film and there was not nearly enough of them.; Personally, I really enjoyed Batman V Superman. I know the plot was a bit of jumbled mess and the bat vs supes was like 5 mins long and then there was Doomsday..ugh. But I still really liked it. There was a lot of it that dealt to me very believable circumstances. I can't say the same for SS...I never bought it. Not once did I sink into the story of the characters...I was always very aware I was in a movie theater watching the fresh prince flap his lips.; To the folks at Warner Bros..ya'll need to step your game up..and do it quickly. You cannot keep making sub par movies like this. I'm this upset and I didn't even have to pay to see this movie. I can't even imagine the folks that are shelling out hard earned money for the 2 hour crapfest I just sat through. Jeez man...What a waste of Jared Leto.; Save your money guys and pirate this crapfest in a week."
Good movie but it could've been better	"There could be some spoilers, but I will keep them to a minimum.; The movie premiered in my country and I got to see it. I give it a 7/10.; What bothered me: - Not much big villain character development for us to care at all. Couldn't understand who the hell is the enchantress' brother and his connection to her, and they barely appeared in like 1/4 of the movie, didn't care much about them. - Not enough focus on the special abilities of each member of the squad and what makes them special and different from each other. - Not enough Joker presence, but I understand he wasn't supposed to be over-present in the movie.; Joker was great for me and Harley Quinn is the best in the movie. Viola Davis (Waller) and Will Smith delivered outstanding performances."
